Model,Task,Analyte,auroc,auprc,f1,precision,recall,accuracy,balanced_accuracy,brier_score,ece,f1_optimized,precision_optimized,recall_optimized,optimal_threshold,rmse,mae,r2,explained_variance,median_ae,detected_rmse,censored_rmse,concordance_index,subset_accuracy,hamming_loss,macro_auroc,micro_auroc,macro_auprc,micro_auprc,macro_f1,micro_f1,label_ranking_avg_precision,mean_per_label_auroc,auroc_PFOS,auprc_PFOS,auroc_PFOA,auprc_PFOA,auroc_PFBS,auprc_PFBS,auroc_PFHxS,auprc_PFHxS,auroc_HFPO-DA,auprc_HFPO-DA
catboost_regressor,T2,PFOS,,,,,,,,,,,,,,0.1579284228123653,0.010541681830723144,-0.0011560070659830668,1.8276073391554348e-05,0.003235917155432123,0.3399389047897965,0.0,0.45798170866989324,,,,,,,,,,,,,,,,,,,,
deep_tobit_regressor,T2,PFOS,,,,,,,,,,,,,,1.933183910242102,0.5920676094859507,-149.01251937852265,-135.15674921198817,0.3133184888617939,0.8666303857936181,2.131364327603791,0.6516142550761317,,,,,,,,,,,,,,,,,,,,
hurdle_regressor,T2,PFOS,,,,,,,,,,,,,,0.15782189029844385,0.014882714754196077,0.0001942209858328825,0.00021404371493582985,0.008373395539820194,0.33936335433453424,0.002911974542066753,0.28784604386303686,,,,,,,,,,,,,,,,,,,,
xgboost_aft_regressor,T2,PFOS,,,,,,,,,,,,,,0.15763284202195357,0.009749554507200235,0.0025880378948650584,0.003814258276640836,0.0019263670713640748,0.3392949616686217,0.0,0.6869725630048399,,,,,,,,,,,,,,,,,,,,
zi_tobit_regressor,T2,PFOS,,,,,,,,,,,,,,0.2097193487592597,0.09571474810104866,-0.7654611372330258,-0.4827161464663565,0.05523960271280165,0.35501892378700584,0.13748954696928345,0.7148286317657789,,,,,,,,,,,,,,,,,,,,
icp_regressor,T2,PFOS,,,,,,,,,,,,,,1.2768084148890462,0.4504802267205772,-64.43839420454384,-56.79259444476135,0.006532380627550901,0.8342197808319313,1.3688844793680315,0.39599168426501885,,,,,,,,,,,,,,,,,,,,
hurdle_aft_ensemble,T2,PFOS,,,,,,,,,,,,,,0.15768804519057217,0.012129353918469242,0.0018893263687095319,0.0021228835794023793,0.005196554644498974,0.33929425613268394,0.000710051113598527,0.5253662785442533,,,,,,,,,,,,,,,,,,,,
dummy_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.5737903225806451,0.2154032258064516,,0.5183762472529968,0.15531464678882484,0.16077998558346376,0.12652819173116203,0.1603269412134549,0.8324350358422915,0.5031693853410765,0.5062043674147411,0.20417144747850385,0.5075162343060458,0.16597016939857565,0.4976968713963445,0.2294439254591509,0.5012600682471747,0.17698769160789385,,
logistic_regression,T3,all,,,,,,,,,,,,,,,,,,,,,,0.31209677419354837,0.36112903225806453,,0.6530458929761944,0.2521457350006736,0.26385087978659527,0.2445246176515523,0.2751699579151829,0.89204973118279,0.6395306768507361,0.6192355057444484,0.3112789749045179,0.6663262252328858,0.27712787435774144,0.604264159355766,0.3137020470369956,0.6682968170698438,0.3586197787041131,,
xgboost_classifier,T3,all,,,,,,,,,,,,,,,,,,,,,,0.6463709677419355,0.14717741935483872,,0.7654103997024196,0.37856879624215295,0.4450374302901758,0.23702031449494393,0.3052912066996574,0.9070340501792123,0.718327795497362,0.8174817620948098,0.5985669851086924,0.8182149626385319,0.5381995927715955,0.42798147589214697,0.24372031142040496,0.8096329813639596,0.5123570919100721,,
